"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Create course","LMS service","Thu Feb 19 10:27:51 UTC 2026","passed","Thu Feb 19 10:27:51 UTC 2026","Create entity","Courses","",""
"","293","Create user","LMS service","Thu Feb 19 10:27:57 UTC 2026","passed","Thu Feb 19 10:27:58 UTC 2026","Create entity","Users","",""
"","16","Create file with empty filename","LMS service","Thu Feb 19 10:27:55 UTC 2026","passed","Thu Feb 19 10:27:55 UTC 2026","Validate entity","Files","",""
"","555","Login with correct email and password","LMS service","Thu Feb 19 10:27:49 UTC 2026","passed","Thu Feb 19 10:27:49 UTC 2026","Login","Authentication","",""
"","13","Get user me","LMS service","Thu Feb 19 10:27:59 UTC 2026","passed","Thu Feb 19 10:27:59 UTC 2026","Get entity","Users","",""
"","297","Delete exercise","LMS service","Thu Feb 19 10:27:54 UTC 2026","passed","Thu Feb 19 10:27:54 UTC 2026","Delete entity","Exercises","",""
"","265","Create file with empty directory","LMS service","Thu Feb 19 10:27:56 UTC 2026","passed","Thu Feb 19 10:27:57 UTC 2026","Validate entity","Files","",""
"","284","Get exercise","LMS service","Thu Feb 19 10:27:51 UTC 2026","passed","Thu Feb 19 10:27:52 UTC 2026","Get entity","Exercises","",""
"","305","Update course","LMS service","Thu Feb 19 10:27:49 UTC 2026","passed","Thu Feb 19 10:27:50 UTC 2026","Update entity","Courses","",""
"","14","Get file","LMS service","Thu Feb 19 10:27:55 UTC 2026","passed","Thu Feb 19 10:27:55 UTC 2026","Get entity","Files","",""
"","292","Delete file","LMS service","Thu Feb 19 10:27:57 UTC 2026","passed","Thu Feb 19 10:27:57 UTC 2026","Delete entity","Files","",""
"","19","Create file","LMS service","Thu Feb 19 10:27:54 UTC 2026","passed","Thu Feb 19 10:27:54 UTC 2026","Create entity","Files","",""
"","264","Get file with incorrect file id","LMS service","Thu Feb 19 10:27:57 UTC 2026","passed","Thu Feb 19 10:27:57 UTC 2026","Validate entity","Files","",""
"","32","Get courses","LMS service","Thu Feb 19 10:27:50 UTC 2026","passed","Thu Feb 19 10:27:50 UTC 2026","Get entities","Courses","",""
"","23","Update exercise","LMS service","Thu Feb 19 10:27:53 UTC 2026","passed","Thu Feb 19 10:27:53 UTC 2026","Update entity","Exercises","",""
"","563","Create user","LMS service","Thu Feb 19 10:27:58 UTC 2026","passed","Thu Feb 19 10:27:58 UTC 2026","Create entity","Users","",""
"","553","Create user","LMS service","Thu Feb 19 10:27:57 UTC 2026","passed","Thu Feb 19 10:27:57 UTC 2026","Create entity","Users","",""
"","289","Create exercise","LMS service","Thu Feb 19 10:27:52 UTC 2026","passed","Thu Feb 19 10:27:52 UTC 2026","Create entity","Exercises","",""
"","22","Get exercises","LMS service","Thu Feb 19 10:27:53 UTC 2026","passed","Thu Feb 19 10:27:53 UTC 2026","Get entities","Exercises","",""
